Distance_(pixels),Gray_Value
0,14463.894
1,14539.963
2,14542.930
3,14513.283
4,14579.758
5,14689.121
6,14824.629
7,14934.162
8,15121.206
9,15282.419
10,15455.710
11,15660.404
12,15836.875
13,16062.742
14,16229.787
15,16425.625
16,16643.471
17,16850.166
18,17062.047
19,17291.607
20,17371.434
21,17454.109
22,17541.934
23,17659.191
24,17771.430
25,17936.416
26,18131.488
27,18395.879
28,18564.496
29,18624.484
30,18621.459
31,18571.883
32,18563.584
33,18530.416
34,18325.621
35,18167.029
36,18074.184
37,18007.746
38,17993.545
39,17950.797
40,17968.529
41,18053.988
42,18048.107
43,17993.613
44,17930.305
45,17810.955
46,17651.426
47,17402.141
48,17152.242
49,16985.176
50,16857.100
51,16767.137
52,16634.309
53,16347.500
54,16100.761
55,15909.445
56,15770.448
57,15651.772
58,15479.081
59,15320.052
60,15180.548
61,15042.525
62,14946.029
63,14911.427
64,14773.621
65,14587.688
66,14444.633
67,14396.915
68,14370.239
69,14380.309
70,14363.129
71,14338.823
72,14312.448
73,14300.331
74,14265.647
75,14294.647
76,14327.408
77,14371.356
78,14391.335
79,14436.213
80,14598.765
81,14786.820
82,14984.346
83,15175.081
84,15336.779
85,15522.033
86,15737.272
87,15954.945
88,16149.254
89,16310.283
90,16507.121
91,16724.695
92,16944.787
93,17129.320
94,17277.875
95,17307.221
96,17345.158
97,17499.643
98,17653.607
99,17835.400
100,17940.641
101,18032.471
102,18227.084
103,18368.547
104,18349.104
105,18412.225
106,18483.857
107,18574.266
108,18625.312
109,18552.834
110,18478.592
111,18527.203
112,18587.434
113,18536.029
114,18403.188
115,18316.279
116,18254.584
117,18211.275
118,18179.496
119,18208.172
120,18242.896
121,18252.225
122,18167.012
123,17945.982
124,17761.492
125,17606.121
126,17413.629
127,17228.742
128,17082.246
129,16927.754
130,16820.408
131,16691.900
132,16422.541
133,16292.945
134,16138.600
135,15965.654
136,15835.525
137,15698.350
138,15555.765
139,15442.092
140,15245.706
141,15082.636
142,14948.867
143,14854.981
144,14856.864
145,14825.338
146,14847.210
147,14898.242
148,14829.540
149,14818.092
150,14857.073
151,14818.610
152,14792.529
153,14899.371
154,15037.195
155,15193.519
156,15347.386
157,15501.769
158,15688.717
159,15738.691
160,15762.934
161,15869.419
162,16035.633
163,16268.805
164,16452.107
165,16560.463
166,16664.713
167,16891.232
168,16989.453
169,17187.367
170,17474.930
171,17682.109
172,17938.350
173,18025.658
174,18000.266
175,18121.328
176,18244.041
177,18192.137
178,18226.154
179,18257.672
180,18297.588
181,18334.643
182,18312.713
183,18310.438
184,18346.705
185,18333.066
186,18233.967
187,18173.959
188,18147.979
189,18142.771
190,18109.354
191,18132.016
192,18165.328
193,18209.791
194,18184.908
195,17992.982
196,17848.291
197,17781.125
198,17608.426
199,17511.484
200,17283.971
201,16960.588
202,16663.070
203,16444.812
204,16307.165
205,16090.897
206,15828.853
207,15590.408
208,15462.287
209,15326.960
210,15170.077
211,14965.519
212,14813.004
213,14604.427
214,14376.360
215,14004.603
216,13724.335
217,13591.728
218,13570.812
219,13569.353
220,13620.481
221,13754.850
222,13819.147
223,13886.633
224,14000.853
225,14186.779
226,14388.085
227,14637.158
228,14812.103
229,14884.867
230,14964.775
231,15068.070
232,15158.478
233,15307.309
234,15537.592
235,15806.728
236,16039.125
237,16219.790
238,16453.305
239,16704.176
240,16946.580
241,17108.379
242,17299.771
243,17505.500
244,17654.762
245,17903.221
246,18136.879
247,18334.658
248,18467.084
249,18547.859
250,18653.312
251,18664.562
252,18597.162
253,18543.328
254,18579.141
255,18590.029
256,18609.988
257,18649.383
258,18683.445
259,18638.184
260,18524.180
261,18467.408
262,18410.496
263,18305.842
264,18198.850
265,18073.812
266,17968.820
267,17740.305
268,17409.588
269,17059.037
270,16835.025
271,16756.100
272,16703.262
273,16610.287
274,16577.287
275,16571.287
276,16514.949
277,16356.585
278,16280.022
279,16235.397
280,16018.225
281,15784.713
282,15620.515
283,15470.559
284,15260.850
285,15168.850
286,15160.577
287,15155.445
288,15097.383
289,15072.985
290,15131.827
291,15106.191
292,15082.504
293,15008.088
294,14837.948
295,14709.691
296,14642.077
297,14646.408
298,14716.350
299,14779.129
300,14915.978
301,15059.033
302,15181.400
303,15175.165
304,15143.195
305,15210.548
306,15373.320
307,15533.930
308,15578.519
309,15767.022
310,15994.765
311,16183.728
312,16370.133
313,16479.078
314,16694.445
315,16847.643
316,17101.258
317,17301.137
318,17387.779
319,17479.328
320,17576.754
321,17628.596
322,17642.445
323,17710.646
324,17741.533
325,17845.941
326,18070.996
327,18282.033
328,18447.746
329,18583.904
330,18693.584
331,18687.787
332,18753.176
333,18914.738
334,18956.422
335,18913.512
336,18927.670
337,18860.471
338,18926.268
339,19040.393
340,19079.795
341,19024.500
342,18956.916
343,18919.100
344,18899.471
345,18774.695
346,18646.092
347,18331.883
348,18046.059
349,17928.258
350,17701.400
351,17579.574
352,17468.312
353,17271.537
354,17015.713
355,16674.721
356,16293.106
357,15926.169
358,15652.025
359,15437.044
360,15315.025
361,15140.460
362,15005.265
363,14833.258
364,14736.492
365,14606.606
366,14617.787
367,14626.180
368,14608.588
369,14614.853
370,14649.040
371,14583.283
372,14523.235
373,14489.165
