Distance_(pixels),Gray_Value
0,816.000
1,906.036
2,939.971
3,912.000
4,893.971
5,916.073
6,871.826
7,888.203
8,898.855
9,845.935
10,795.855
11,867.440
12,944.000
13,971.142
14,910.542
15,866.109
16,852.826
17,886.371
18,918.935
19,939.207
20,887.419
21,868.305
22,859.680
23,859.251
24,916.349
25,944.000
26,898.528
27,873.098
28,907.305
29,918.895
30,884.673
31,827.550
32,882.046
33,925.760
34,921.124
35,909.746
36,923.392
37,962.269
38,912.034
39,873.142
40,852.564
41,850.298
42,845.695
43,868.625
44,905.160
45,875.346
46,838.833
47,859.512
48,880.000
49,971.780
50,911.457
51,880.297
52,872.867
53,905.540
54,950.804
55,861.202
56,919.645
57,925.136
58,864.000
59,854.786
60,866.436
61,861.557
62,838.775
63,841.229
64,848.000
65,838.764
66,822.760
67,917.677
68,899.530
69,924.506
70,899.457
71,841.258
72,857.262
73,891.796
74,930.538
75,944.000
76,962.552
77,929.601
78,877.433
79,873.287
80,898.581
81,912.000
82,837.617
83,839.809
84,870.695
85,873.309
86,889.312
87,914.632
88,974.598
89,952.060
90,902.673
91,933.322
92,950.666
93,962.676
94,919.951
95,880.000
96,861.303
97,885.409
98,921.356
99,843.763
100,821.453
101,922.935
102,938.518
103,921.374
104,881.111
105,951.196
106,995.845
107,976.000
108,938.431
109,921.396
110,881.002
111,885.613
112,912.000
113,874.358
114,932.727
115,963.747
116,887.472
117,838.575
118,822.571
119,891.458
120,915.692
121,905.440
122,874.227
123,904.681
124,906.198
125,880.000
126,917.831
127,953.461
128,950.535
129,925.063
130,855.167
131,844.428
132,854.521
133,819.551
134,790.513
135,840.942
136,851.518
137,850.995
138,930.509
139,909.466
140,816.457
141,860.098
142,854.905
143,854.078
144,889.523
145,905.527
146,864.348
147,793.864
148,863.376
149,918.459
150,902.455
151,876.903
152,892.656
153,873.777
154,953.154
155,957.059
156,931.133
157,924.859
158,940.722
159,931.267
160,902.419
161,915.170
162,880.058
163,809.632
164,899.149
165,908.804
166,864.000
167,873.607
168,889.610
169,905.614
170,854.295
171,873.727
172,863.876
173,860.885
174,860.736
175,915.450
176,892.525
177,886.572
178,921.647
179,937.650
180,847.461
181,928.862
182,937.050
183,860.670
184,915.679
185,940.656
186,879.622
187,828.641
188,912.829
189,946.940
190,898.929
191,928.469
192,950.303
193,934.299
194,879.476
195,867.417
196,821.728
197,852.009
198,905.719
199,902.277
200,905.727
201,873.079
202,935.604
203,894.626
204,880.705
205,814.553
206,742.252
207,833.519
208,935.022
209,930.722
210,882.711
211,844.467
212,851.540
213,903.095
214,947.555
215,960.000
216,930.646
217,892.423
218,938.751
219,946.613
220,957.398
221,946.592
222,859.355
223,914.101
224,887.677
225,910.539
226,920.716
227,945.123
228,956.344
229,894.841
230,864.000
231,932.874
232,897.258
233,828.307
234,875.100
235,882.439
236,893.572
237,882.417
238,883.729
239,974.945
240,925.282
241,952.879
242,919.088
243,854.117
244,867.773
245,840.440
246,865.468
247,896.000
248,866.297
249,848.000
250,857.908
251,854.088
252,867.831
253,830.405
254,899.227
255,960.000
256,910.350
257,830.332
258,809.937
259,885.586
260,888.222
261,844.104
262,881.759
263,921.955
264,928.000
265,888.149
266,844.067
267,871.880
268,856.106
269,881.886
270,951.923
271,886.140
272,851.976
273,963.917
274,1014.005
275,918.009
276,884.005
277,926.019
278,913.970
279,885.987
280,880.000
281,859.958
282,918.171
283,929.916
284,912.000
285,881.894
286,904.156
287,887.830
288,833.861
289,836.100
290,858.053
291,853.943
292,908.364
293,903.743
294,859.864
295,858.072
296,874.075
297,940.473
298,905.422
299,874.086
300,900.180
301,901.907
302,865.709
303,928.805
304,895.166
305,868.216
306,890.112
307,875.770
308,874.119
309,890.122
310,885.874
311,859.741
312,878.400
313,875.726
314,904.563
315,887.423
316,884.296
317,936.606
318,858.448
319,810.159
320,816.000
321,897.328
322,872.812
323,811.653
324,840.708
325,955.625
326,906.158
327,837.812
328,852.383
329,894.585
330,952.795
331,976.000
332,914.764
333,849.371
334,872.853
335,936.868
336,970.221
337,976.000
338,976.000
339,935.074
340,942.705
341,919.045
342,967.696
343,946.524
344,973.498
345,1028.506
346,1050.257
347,902.092
348,898.113
349,944.000
350,933.729
351,897.175
352,910.836
353,948.565
354,908.570
355,849.131
356,801.120
357,897.265
358,918.798
359,844.479
360,888.154
361,938.311
362,851.165
363,872.230
364,870.711
365,827.348
366,846.989
367,853.667
368,889.347
369,870.638
370,816.968
371,831.043
372,910.108
373,923.290
374,943.076
375,887.464
376,879.098
377,937.478
378,960.000
379,887.363
380,879.141
381,927.152
382,902.449
383,880.000
384,869.605
385,864.000
386,832.793
387,826.406
388,832.000
389,863.239
390,880.000
391,869.580
392,874.424
393,911.283
394,948.862
395,897.391
396,884.877
397,875.116
398,884.892
399,916.899
400,865.282
401,905.197
402,912.619
403,875.072
404,905.870
405,907.058
406,780.777
407,898.134
408,876.697
409,910.372
410,960.000
411,949.507
412,954.497
413,875.998
414,884.519
415,912.000
416,848.933
417,858.059
418,848.445
419,895.132
420,885.897
421,832.412
422,816.000
423,773.854
424,815.241
425,869.088
426,827.263
427,842.204
428,832.336
429,868.792
430,917.124
431,885.737
432,885.139
433,779.698
434,794.036
435,895.481
436,864.497
437,884.937
438,912.000
439,901.405
440,843.008
441,858.408
442,933.028
443,885.735
444,848.000
445,901.083
446,928.000
447,885.505
448,864.000
449,895.893
450,933.269
451,933.362
452,917.358
453,837.481
454,906.492
455,1002.611
456,949.405
457,901.340
458,874.673
459,960.006
460,943.974
461,858.627
462,896.070
463,831.863
464,880.170
465,928.000
466,906.614
467,885.304
468,847.900
469,874.815
470,863.878
471,890.844
472,933.429
473,954.718
474,938.556
475,917.275
476,804.709
477,784.198
478,864.418
479,906.740
480,879.769
481,864.000
482,831.747
483,869.773
484,917.516
485,874.191
486,880.296
487,885.231
488,815.364
489,848.658
490,912.340
491,949.567
492,927.638
493,890.418
494,858.411
495,880.394
496,885.198
497,966.443
498,964.764
499,889.937
500,874.816
501,901.640
502,847.059
503,826.827
504,907.816
505,976.503
506,894.457
507,923.892
508,894.928
509,885.698
510,1058.789
511,994.869
512,960.580
513,921.682
514,928.601
515,965.742
516,1041.246
517,995.854
518,938.237
519,1015.083
520,1143.112
521,1292.926
522,1202.349
523,1223.199
524,1285.807
525,1165.115
526,1038.536
527,942.514
528,933.836
529,933.078
530,971.701
