Radius_[pixels],Normalized_Integrated_Intensity
1.3333,55008.000
2.6667,47328.000
4.0000,37379.273
5.3333,28447.334
6.6667,20715.143
8.0000,13651.619
9.3333,8488.800
10.6667,5222.800
12.0000,3183.310
13.3333,2218.400
14.6667,2113.600
16.0000,2409.231
17.3333,2594.444
18.6667,2692.632
20.0000,2569.872
21.3333,2319.091
22.6667,2110.578
24.0000,1987.254
25.3333,1907.077
26.6667,1901.185
28.0000,1961.169
29.3333,2001.032
30.6667,2002.258
32.0000,1983.573
33.3333,1933.697
34.6667,1904.629
36.0000,1871.852
37.3333,1863.524
38.6667,1885.842
40.0000,1888.611
