Distance_(pixels),Gray_Value
0,868.000
1,820.033
2,883.944
3,888.049
4,820.362
5,907.253
6,859.853
7,867.407
8,903.870
9,899.766
10,799.916
11,840.329
12,806.031
13,950.793
14,994.019
15,932.019
16,889.184
17,846.512
18,869.593
19,844.315
20,834.204
21,926.745
22,866.469
23,904.690
24,857.045
25,833.181
26,853.805
27,900.402
28,994.187
29,906.508
30,853.585
31,848.163
32,871.983
33,870.086
34,898.549
35,938.550
36,908.598
37,956.339
38,915.652
39,930.537
40,898.768
41,859.036
42,953.260
43,976.173
44,972.304
45,893.967
46,919.843
47,952.776
48,943.732
49,938.085
50,898.405
51,886.912
52,917.782
53,950.305
54,906.297
55,824.120
56,817.860
57,812.093
58,822.334
59,832.639
60,904.538
61,902.113
62,888.521
63,834.655
64,883.236
65,860.594
66,842.745
67,815.776
68,821.260
69,858.880
70,823.137
71,811.721
72,841.467
73,885.860
74,857.776
75,861.484
76,857.601
77,882.058
78,834.963
79,920.088
80,923.457
81,918.541
82,972.767
83,949.104
84,916.507
85,932.787
86,925.644
87,910.083
88,833.684
89,829.101
90,908.298
91,912.874
92,923.964
93,894.026
94,872.953
95,828.056
96,873.984
97,937.362
98,960.663
99,940.051
100,891.564
101,817.870
102,848.234
103,834.882
104,914.514
105,920.622
106,938.030
107,948.201
108,851.097
109,917.469
110,853.390
111,853.086
112,881.249
113,808.651
114,921.856
115,940.072
116,914.822
117,963.876
118,917.689
119,928.168
120,980.521
121,848.456
122,835.745
123,890.076
124,948.164
125,966.991
126,922.206
127,928.606
128,854.245
129,896.606
130,929.548
131,883.328
132,902.197
133,862.565
134,867.012
135,908.858
136,900.061
137,855.080
138,910.690
139,928.342
140,917.822
141,938.463
142,869.729
143,903.823
144,857.502
145,805.407
146,839.858
147,845.086
148,884.983
149,880.241
150,847.048
151,907.696
152,947.955
153,967.936
154,953.556
155,856.376
156,833.172
157,901.882
158,900.177
159,828.222
160,925.703
161,876.599
162,886.818
163,921.892
164,888.200
165,849.492
166,845.768
167,834.787
168,832.810
169,853.700
170,891.056
171,918.629
172,828.750
173,862.667
174,949.235
175,880.882
176,873.475
177,916.227
178,899.733
179,940.208
180,863.050
181,879.608
182,841.948
183,856.200
184,875.976
185,940.214
186,993.128
187,956.050
188,952.107
189,872.222
190,903.740
191,912.071
192,932.088
193,913.442
194,883.585
195,905.828
196,912.580
197,893.735
198,823.617
199,867.055
200,924.444
201,907.561
202,892.601
203,891.472
204,976.000
205,878.880
206,875.393
207,908.305
208,895.365
209,931.165
210,967.082
211,965.641
212,964.621
213,848.546
214,885.478
215,949.266
216,991.389
217,915.798
218,951.710
219,919.020
220,888.843
221,868.997
222,953.920
223,1008.471
224,936.405
225,902.850
226,883.947
227,899.892
228,940.683
229,923.377
230,887.451
231,855.754
232,837.095
233,875.453
234,897.159
235,925.400
236,894.578
237,914.487
238,873.002
239,870.664
240,889.565
241,924.455
242,849.910
243,940.982
244,942.593
245,908.677
246,915.954
247,950.763
248,904.966
249,934.067
250,937.383
251,893.066
252,931.680
253,921.499
254,892.111
255,937.033
256,907.081
257,898.326
258,896.997
259,946.764
260,909.206
261,886.762
262,913.090
263,918.360
264,876.518
265,899.439
266,897.032
267,914.060
268,925.029
269,850.338
270,860.480
271,929.354
272,853.117
273,832.528
274,897.073
275,914.456
276,863.609
277,883.413
278,872.146
279,843.339
280,852.050
281,942.621
282,881.318
283,848.583
284,876.076
285,899.333
286,898.043
287,855.735
288,888.336
289,911.268
290,866.922
291,939.654
292,941.453
293,915.188
294,920.558
295,907.459
296,870.876
297,813.394
298,862.032
299,904.876
300,919.979
301,909.962
302,922.085
303,911.010
304,981.913
305,938.837
306,922.344
307,900.881
308,942.559
309,938.959
310,853.085
311,905.170
312,938.322
313,939.642
314,911.947
315,862.405
316,873.964
317,887.645
318,939.992
319,947.419
320,957.104
321,1000.544
322,941.134
323,991.856
324,1027.707
325,1049.631
326,994.833
327,987.256
328,986.818
329,923.632
330,934.601
331,930.894
332,908.839
333,962.555
334,874.989
335,895.402
336,908.991
337,925.327
338,890.594
339,913.502
340,870.570
341,848.530
342,849.527
343,894.460
344,885.619
345,913.911
346,929.750
347,902.824
348,901.761
349,886.309
350,915.724
351,917.827
352,890.642
353,882.352
354,947.335
355,894.275
356,905.575
357,939.723
358,910.461
359,895.098
360,877.362
361,847.770
362,892.877
363,905.573
364,903.112
365,913.896
366,906.360
367,862.836
368,831.846
369,895.683
370,908.210
371,920.971
372,904.748
373,948.693
374,908.261
375,857.154
376,871.324
377,868.181
378,959.332
379,926.662
380,802.864
381,851.300
382,879.948
383,939.454
384,918.025
385,844.292
386,882.608
387,933.766
388,896.558
389,862.278
390,848.694
391,931.055
392,901.320
393,980.070
394,920.134
395,881.539
396,934.073
397,928.217
398,878.274
399,910.457
400,890.719
401,908.994
402,937.073
403,913.684
404,930.739
405,866.031
406,833.408
407,872.940
408,912.904
409,905.236
410,882.330
411,870.743
412,842.402
413,864.571
414,870.034
415,928.909
416,931.413
417,919.827
418,930.854
419,913.794
420,920.500
421,859.986
422,880.949
423,870.911
424,882.040
425,909.955
426,904.247
427,941.268
428,957.465
429,882.963
430,871.974
431,856.596
432,931.253
433,949.644
434,945.914
435,968.322
436,965.830
437,931.593
438,950.204
439,972.020
440,953.572
441,891.894
442,897.049
443,880.427
444,890.745
445,900.354
446,920.017
447,905.855
448,880.663
449,888.292
450,913.124
451,897.768
452,835.464
453,885.482
454,930.257
455,880.458
456,894.027
457,872.341
458,889.390
459,851.806
460,902.103
461,889.505
462,933.971
463,888.764
464,926.509
465,942.290
466,888.992
467,848.622
468,889.885
469,903.424
470,889.475
471,915.247
472,887.267
473,887.444
474,896.583
475,878.801
476,937.318
477,891.743
478,915.354
479,900.784
480,924.392
481,925.195
482,905.635
483,886.400
484,852.312
485,862.688
486,920.557
487,902.609
488,890.247
489,959.722
490,922.982
491,905.999
492,909.301
493,875.199
494,965.776
495,921.522
496,911.352
497,959.887
498,984.366
499,1062.081
500,1099.869
501,1096.524
502,1102.497
503,1259.076
504,1475.381
505,1401.616
506,1394.973
507,1360.801
508,1292.578
509,1183.428
510,1115.991
511,1044.384
512,955.887
513,956.400
514,866.047
515,874.191
516,887.231
517,941.091
518,859.887
519,838.738
520,884.154
521,955.951
522,904.168
523,859.050
524,835.675
