Distance_(pixels),Gray_Value
0,1200.000
1,1216.107
2,1237.959
3,1319.672
4,1376.334
5,1470.856
6,1700.534
7,1842.694
8,1844.311
9,1872.273
10,1957.359
11,1973.603
12,1923.325
13,1884.961
14,1827.726
15,1718.982
16,1700.712
17,1497.964
18,1402.011
19,1430.360
20,1473.924
21,1372.065
22,1196.496
23,1114.827
24,1113.876
25,1114.867
26,1080.886
27,1071.051
28,1120.583
29,1079.276
30,1089.256
31,1049.121
32,976.556
33,1002.975
34,1052.267
35,1089.639
36,1111.978
37,1117.934
38,1075.307
39,1057.974
40,1104.746
41,1143.493
42,1094.397
43,1042.368
44,1035.835
45,1096.170
46,1041.603
47,1059.362
48,1027.051
49,1035.318
50,1128.196
51,1140.524
52,1091.603
53,1029.260
54,1062.556
55,1074.149
56,1005.626
57,1007.361
58,1057.456
59,1080.570
60,1071.725
61,995.493
62,1010.505
63,976.181
64,977.485
65,1024.785
66,1018.545
67,1035.505
68,1017.111
69,1060.475
70,1022.154
71,1081.435
72,996.535
73,1114.445
74,1044.689
75,1007.023
76,1060.628
77,1133.107
78,1093.344
79,1097.714
80,1093.083
81,1076.428
82,1143.993
83,1065.672
84,1054.459
85,950.814
86,1150.824
87,1109.347
88,1107.636
89,1042.264
90,1112.419
91,1017.497
92,1109.627
93,1008.225
94,1110.124
95,1019.657
96,1040.944
97,1038.791
98,1092.252
99,1142.149
100,992.199
101,1067.564
102,1033.124
103,1109.270
104,1115.855
105,1040.683
106,1036.894
107,955.081
108,1062.288
109,1036.424
110,1049.669
111,1125.333
112,1028.755
113,1040.704
114,957.191
115,1019.859
116,1099.595
117,1102.710
118,1026.920
119,1020.809
120,1007.727
121,1074.000
122,1081.475
123,1078.041
124,1045.546
125,1111.040
126,1041.676
127,1059.407
128,964.425
129,1089.612
130,1161.556
131,1157.286
132,1000.959
133,1061.295
134,1090.173
135,1058.467
136,1075.578
137,1139.267
138,989.894
139,1072.273
140,991.703
141,1011.551
142,1081.686
143,1049.471
144,1117.827
145,1003.695
146,993.485
147,1006.905
148,1067.927
149,889.948
150,1078.734
151,1089.650
152,1003.368
153,1047.610
154,1017.174
155,1072.825
156,1092.571
157,1040.144
158,1019.730
159,923.651
160,980.709
161,951.570
162,1072.668
163,1091.905
164,1017.149
165,1001.438
166,1053.158
167,1010.268
168,1061.342
169,1097.510
170,959.959
171,1092.606
172,1010.716
173,996.761
174,1122.725
175,1033.544
176,1054.016
177,967.150
178,1025.302
179,1072.462
180,1063.526
181,1066.853
182,989.340
183,1020.781
184,1122.396
185,1085.498
186,1023.125
187,1036.595
188,1037.282
189,1082.250
190,1062.998
191,951.662
192,949.324
193,1001.237
194,980.028
195,1126.460
196,1072.628
197,1070.278
198,1096.760
199,1131.257
200,1134.785
201,1121.205
202,1092.704
203,1092.593
204,1062.398
205,1019.168
206,994.728
207,1027.691
208,1098.846
209,1090.612
210,1067.406
211,1120.781
212,1115.500
213,1059.673
214,1010.078
215,979.566
216,1105.217
217,1127.242
218,1053.025
219,1058.415
220,1028.165
221,1052.981
222,1045.775
223,967.946
224,976.540
225,1018.352
226,1024.891
227,1028.227
228,1038.782
229,1073.719
230,1011.966
231,1049.934
232,1025.667
233,1002.649
234,1012.326
235,950.600
236,978.319
237,1040.173
238,1112.053
239,1076.985
240,1031.695
241,1042.853
242,1102.000
243,1067.118
244,1025.247
245,1100.113
246,1101.656
247,1094.998
248,1058.820
249,1017.019
250,1077.554
251,1127.364
252,1128.160
253,1053.008
254,1035.167
255,1067.947
256,1031.564
257,1046.288
258,1065.942
259,1079.543
260,1065.644
261,1047.603
262,1043.490
263,1016.826
264,1057.322
265,1112.192
266,1058.657
267,1138.749
268,1047.908
269,1016.874
270,1082.997
271,1035.869
272,1000.286
273,1034.714
274,1045.381
275,1087.785
276,1045.354
277,982.588
278,1052.347
279,1112.905
280,1087.340
281,1080.608
282,1088.893
283,1049.055
284,1040.573
285,1015.153
286,994.975
287,1064.660
288,1078.128
289,1098.941
290,1027.824
291,1006.212
292,1052.875
293,1043.038
294,1041.237
295,1112.147
296,1037.472
297,1093.686
298,1169.460
299,1086.342
300,988.162
301,1048.054
302,1075.147
303,1039.688
304,1073.035
305,1044.721
306,995.380
307,1004.267
308,1050.446
309,981.381
310,1021.546
311,1107.998
312,1082.522
313,1023.612
314,1080.331
315,1050.223
316,1064.038
317,1081.618
318,1038.266
319,1042.331
320,951.686
321,1088.512
322,1175.615
323,1047.339
324,1050.020
325,1056.546
326,1173.635
327,1049.922
328,1070.781
329,1023.190
330,914.033
331,1019.841
332,1021.611
333,964.328
334,1018.248
335,974.309
336,949.196
337,990.846
338,998.358
339,1072.506
340,1068.590
341,1038.562
342,1071.813
343,1101.827
344,968.289
345,1070.848
346,1210.709
347,1186.336
348,1229.696
349,1154.325
350,1205.905
351,1136.064
352,1136.132
353,1170.592
354,1156.998
355,1117.614
356,1227.130
357,1281.931
358,1270.645
359,1261.238
360,1325.974
361,1157.156
362,1184.641
363,1324.000
364,1623.686
365,2072.215
366,2535.740
367,2386.356
368,2038.067
369,1719.063
370,1315.929
371,1230.238
372,1472.652
373,2007.160
374,3221.273
375,4229.436
376,5598.657
377,8075.463
378,10510.189
379,11449.788
380,11987.443
381,12401.323
382,12189.788
383,10580.647
384,9969.926
385,8335.686
386,6570.956
387,5187.442
388,3287.296
389,2152.291
390,1544.485
391,1311.680
392,1338.025
393,1408.161
394,1292.838
395,1201.117
396,1311.736
397,1352.946
398,1326.461
399,1308.292
400,1224.893
401,1110.216
402,1097.905
403,1041.614
404,1051.901
405,1118.188
406,1114.810
407,1131.405
408,1107.437
409,1119.275
410,1143.008
411,1072.025
412,1204.468
413,1093.231
414,1065.032
415,971.627
416,1051.056
417,1050.826
418,1084.727
419,1068.983
420,1135.786
421,1081.120
422,1034.438
