Distance_(pixels),Gray_Value
0,1096.000
1,1059.709
2,1067.470
3,1085.255
4,1033.467
5,1083.393
6,1136.337
7,1149.787
8,1161.061
9,1131.890
10,1078.820
11,1036.602
12,1107.403
13,1188.279
14,1146.145
15,1219.012
16,1274.529
17,1213.139
18,1228.315
19,1248.576
20,1353.393
21,1380.887
22,1468.902
23,1570.462
24,1577.558
25,1772.646
26,1867.916
27,1911.977
28,2104.977
29,2098.781
30,1998.220
31,1990.100
32,1811.821
33,1629.736
34,1506.999
35,1488.331
36,1411.764
37,1327.596
38,1241.575
39,1236.161
40,1180.579
41,1163.916
42,1213.455
43,1113.916
44,1043.825
45,1147.872
46,1130.302
47,1009.639
48,1015.205
49,1050.400
50,1034.691
51,1057.064
52,1080.017
53,1142.130
54,1106.909
55,1058.973
56,1112.678
57,1189.061
58,1023.172
59,1021.388
60,1031.823
61,1017.219
62,1077.339
63,1011.712
64,1102.630
65,1156.646
66,1161.531
67,1145.099
68,1016.170
69,1021.160
70,1028.373
71,1074.302
72,984.690
73,1116.674
74,961.614
75,997.762
76,998.486
77,1104.877
78,1032.197
79,1119.540
80,1041.988
81,1069.659
82,1170.595
83,1078.322
84,1029.710
85,1085.369
86,1076.464
87,1085.982
88,1104.233
89,1101.679
90,1062.483
91,1120.136
92,1050.042
93,924.856
94,1041.188
95,1070.288
96,1064.161
97,1081.625
98,1026.835
99,1072.713
100,986.932
101,1012.178
102,1027.685
103,1117.094
104,1098.036
105,974.264
106,909.017
107,1052.090
108,1079.129
109,1060.062
110,1094.191
111,1069.729
112,1176.618
113,1072.662
114,1072.384
115,1020.501
116,1142.935
117,1005.680
118,1130.133
119,1016.841
120,976.628
121,1067.512
122,1087.143
123,1039.625
124,1025.595
125,1071.055
126,1073.733
127,1091.933
128,963.145
129,987.478
130,988.826
131,987.339
132,998.760
133,1049.175
134,1096.424
135,1019.647
136,1048.115
137,1056.886
138,1119.141
139,1109.182
140,1086.587
141,1093.419
142,1103.178
143,1050.924
144,1054.354
145,1051.103
146,951.146
147,1034.417
148,1110.956
149,1051.136
150,991.155
151,1086.692
152,1077.196
153,1066.025
154,1021.518
155,1097.677
156,1064.924
157,1012.627
158,1011.906
159,1042.716
160,956.945
161,1012.681
162,1063.220
163,1020.608
164,1057.801
165,1126.694
166,1085.315
167,1058.505
168,1029.495
169,1050.478
170,1094.266
171,1063.540
172,1166.566
173,1091.008
174,969.246
175,1087.929
176,1032.874
177,1042.046
178,1084.756
179,990.278
180,1014.756
181,1051.428
182,1045.063
183,1024.529
184,1050.634
185,1139.749
186,1099.472
187,1020.326
188,1075.022
189,998.547
190,1046.872
191,1121.714
192,1117.266
193,1060.298
194,1029.016
195,981.723
196,1004.174
197,1077.374
198,1054.808
199,1106.123
200,1091.134
201,999.326
202,989.846
203,985.930
204,997.596
205,993.327
206,1048.086
207,1115.110
208,1182.377
209,1154.075
210,1092.959
211,1113.259
212,1139.744
213,1177.671
214,1232.452
215,1280.962
216,1340.261
217,1276.763
218,1281.436
219,1480.078
220,1602.869
221,1790.864
222,2055.664
223,2336.256
224,2562.498
225,2839.939
226,3146.368
227,3171.780
228,3004.186
229,2787.092
230,2532.223
231,2207.956
232,1912.951
233,1632.943
234,1414.734
235,1262.375
236,1168.933
237,1133.073
238,1117.686
239,1100.491
240,1133.931
241,1145.284
242,1156.279
243,1084.011
244,1050.989
245,1039.972
246,1076.913
247,1063.589
248,1073.660
249,1069.515
250,1043.442
