Distance_(pixels),Gray_Value
0,16410.422
1,16782.012
2,16800.689
3,16889.070
4,16912.148
5,16766.096
6,16680.152
7,16609.338
8,16344.918
9,16041.824
10,15722.493
11,15413.462
12,15083.429
13,14673.856
14,14334.690
15,14009.580
16,13700.771
17,13348.400
18,12983.138
19,12623.213
20,12234.846
21,11809.760
22,11403.392
23,11016.706
24,10602.591
25,10229.101
26,9862.502
27,9496.070
28,9113.175
29,8803.372
30,8511.605
31,8281.052
32,8072.151
33,7913.371
34,7755.906
35,7659.370
36,7583.189
37,7534.921
38,7483.483
39,7489.958
40,7539.719
41,7593.872
42,7719.125
43,7876.573
44,8041.088
45,8252.180
46,8493.869
47,8766.411
48,9087.344
49,9434.214
50,9790.517
51,10167.891
52,10543.490
53,10898.895
54,11276.178
55,11625.533
56,11972.989
57,12296.715
58,12621.642
59,12946.937
60,13272.918
61,13595.912
62,13920.733
63,14238.550
64,14554.397
65,14859.265
66,15115.883
67,15378.063
68,15625.732
69,15728.077
70,15830.191
71,15910.646
72,15929.078
73,15923.917
74,15874.306
75,15792.253
76,15677.116
77,15570.957
78,15437.880
79,15273.800
80,15073.162
81,14902.628
82,14719.039
83,14502.197
84,14258.792
85,13962.441
86,13659.962
87,13288.797
88,12886.997
89,12480.355
90,12070.392
91,11685.189
92,11243.828
93,10848.797
94,10507.674
95,10147.798
96,9838.879
97,9577.546
98,9289.340
99,9041.536
100,8807.711
101,8576.730
102,8348.782
103,8148.100
104,7981.375
105,7850.826
106,7736.810
107,7681.948
108,7667.393
109,7692.819
110,7771.290
111,7906.349
112,8061.682
113,8267.145
114,8514.061
115,8778.831
116,9054.577
117,9350.132
118,9666.880
119,9988.460
120,10326.586
121,10699.583
122,11088.460
123,11486.343
124,11888.054
125,12335.287
126,12773.614
127,13211.053
128,13656.383
129,14076.885
130,14461.911
131,14845.486
132,15226.610
133,15549.339
134,15864.585
135,16143.870
136,16383.138
137,16595.199
138,16750.568
139,16909.340
140,16997.424
141,17040.066
142,17083.391
143,17109.971
144,17057.416
145,16963.658
146,16883.604
147,16746.785
148,16561.566
149,16345.929
150,16093.421
151,15777.690
152,15474.499
