Distance_(pixels),Gray_Value
0,13450.726
1,13854.583
2,14295.127
3,14736.349
4,15174.625
5,15591.793
6,15943.989
7,16268.485
8,16559.629
9,16819.732
10,17076.277
11,17313.184
12,17522.100
13,17686.447
14,17867.646
15,18004.846
16,18141.682
17,18281.066
18,18405.273
19,18482.746
20,18506.229
21,18459.566
22,18417.006
23,18329.541
24,18236.229
25,18110.844
26,17955.014
27,17767.770
28,17508.039
29,17222.533
30,16931.428
31,16618.307
32,16280.378
33,15932.228
34,15559.971
35,15128.205
36,14686.134
37,14285.364
38,13842.773
39,13359.442
40,12876.431
41,12331.995
42,11831.786
43,11345.914
44,10830.801
45,10326.689
46,9843.471
47,9381.979
48,8947.260
49,8528.212
50,8110.640
51,7722.016
52,7329.094
53,6966.014
54,6628.785
55,6309.360
56,6046.968
57,5816.521
58,5629.319
59,5475.803
60,5350.170
61,5254.882
62,5197.459
63,5183.176
64,5222.315
65,5278.292
66,5396.676
67,5561.427
68,5768.053
69,6009.044
70,6291.790
71,6622.868
72,7018.345
73,7462.968
74,7954.893
75,8477.887
76,9049.254
77,9627.896
78,10269.375
79,10913.829
80,11581.378
81,12246.890
82,12878.688
83,13506.729
84,14157.080
85,14743.979
86,15379.077
87,15984.394
88,16533.842
89,17091.986
90,17668.201
91,18246.121
92,18747.012
93,19288.391
94,19836.527
95,20360.955
96,20877.709
97,21368.826
98,21856.662
99,22328.262
100,22708.566
101,23080.889
102,23436.828
103,23649.904
104,23825.326
105,23927.000
106,23957.193
107,23978.545
108,23931.391
109,23833.775
110,23740.871
111,23630.424
112,23397.463
113,23126.832
114,22869.189
115,22594.447
116,22265.951
117,21920.334
118,21504.955
119,21070.477
120,20583.307
121,20084.514
122,19547.547
123,19002.924
124,18421.373
125,17847.447
126,17273.967
127,16699.805
128,16156.336
129,15623.131
130,15107.480
131,14544.874
132,13963.965
133,13413.396
134,12857.817
135,12330.606
136,11815.659
137,11372.441
138,10942.058
139,10511.474
140,10048.378
141,9609.318
142,9209.484
143,8837.086
144,8456.063
145,8077.751
146,7731.932
147,7394.466
148,7106.773
149,6817.310
150,6546.350
151,6292.694
152,6078.731
153,5874.297
154,5697.167
155,5530.603
156,5380.324
157,5264.528
158,5164.879
159,5065.048
160,5007.822
161,4961.443
162,4936.633
163,4956.610
164,4991.189
165,5058.565
166,5155.116
167,5263.418
168,5410.519
169,5590.528
170,5790.071
171,6033.168
172,6323.814
173,6625.194
174,6971.028
175,7349.925
176,7774.597
177,8193.494
178,8638.332
179,9081.331
180,9535.518
181,10038.606
182,10546.611
183,11050.197
184,11560.353
185,12098.450
186,12651.780
187,13196.930
188,13728.898
189,14244.880
190,14756.479
191,15252.928
192,15732.300
193,16213.584
194,16718.930
195,17208.195
196,17656.713
197,18105.818
198,18565.979
199,18979.262
200,19316.836
201,19628.051
202,19906.391
203,20165.070
204,20391.676
205,20565.557
206,20686.016
207,20789.775
208,20866.586
209,20921.146
210,20930.719
211,20864.146
212,20794.631
213,20686.354
214,20570.021
215,20383.682
216,20133.084
217,19818.898
218,19518.379
219,19266.195
220,19010.529
221,18730.270
222,18398.564
223,18034.389
224,17629.650
225,17205.965
226,16760.096
227,16326.911
228,15900.530
229,15409.131
230,14930.882
231,14457.297
232,13962.058
233,13488.562
234,13050.627
235,12599.198
236,12130.704
237,11654.887
238,11205.753
239,10738.205
240,10278.531
241,9845.408
242,9418.854
243,8982.428
244,8583.425
245,8207.871
246,7814.923
247,7450.818
248,7098.755
249,6751.503
250,6404.049
251,6085.083
252,5797.789
253,5540.037
254,5301.522
255,5060.634
256,4863.844
257,4711.560
258,4589.437
259,4498.923
260,4436.194
261,4405.022
262,4425.202
263,4480.919
264,4583.215
265,4720.719
266,4898.889
267,5120.541
268,5387.103
269,5673.647
270,6004.438
271,6368.202
