Radius_[pixels],Normalized_Integrated_Intensity
1.3333,12027.429
2.6667,3742.667
4.0000,1241.455
5.3333,1169.000
6.6667,1114.286
8.0000,941.524
9.3333,950.800
10.6667,961.000
12.0000,914.621
13.3333,916.400
14.6667,921.467
16.0000,906.154
17.3333,906.222
18.6667,916.211
20.0000,897.532
21.3333,909.182
22.6667,908.356
24.0000,895.254
25.3333,912.154
26.6667,898.222
28.0000,895.077
29.3333,900.258
30.6667,914.065
32.0000,904.000
33.3333,906.909
34.6667,901.771
36.0000,903.062
37.3333,903.381
38.6667,901.632
40.0000,903.637
